==============================================================================
fleetsimOSS.pl v2.00a
Command line: -offline
Run Date/Time: 2018-10-12 16:02:16
Running simulation.  Type 'Ctrl C' at anytime to end simulation.
Reading truck route info ...
Reading warehouse info...
Warehouse Name: Quidi Vidi Brewery; Lat: 47.58136; Long: -52.67638
Resetting all trucks...
Truck : 47.58136,-52.67638; Accident=0; Door=0; TempC=20.0
Truck : 47.58136,-52.67638; Accident=0; Door=0; TempC=20.0
Truck : 47.58136,-52.67638; Accident=0; Door=0; TempC=20.0
Truck : 47.58136,-52.67638; Accident=0; Door=0; TempC=20.0
Simulation starts in:
5 seconds...
4 seconds...
3 seconds...
2 seconds...
1 seconds...
4 Trucks are on the way!
Truck data will update every 5 seconds for a maximum of 3600 seconds (~720 samples/truck)...
Truck : 47.58717,-52.68421; Accident=0; Door=0; TempC=18.7
Truck : 47.60159,-52.70360; Accident=0; Door=0; TempC=20.6
Truck : 47.56405,-52.71573; Accident=0; Door=0; TempC=20.7
Truck : 47.57602,-52.69585; Accident=0; Door=0; TempC=18.4
Truck : 47.58734,-52.68419; Accident=0; Door=0; TempC=19.4
Truck : 47.60138,-52.70580; Accident=0; Door=0; TempC=20.8
Truck : 47.56386,-52.71665; Accident=0; Door=1; TempC=20.8
Truck : 47.57560,-52.69671; Accident=0; Door=0; TempC=18.4
Truck : 47.58769,-52.68422; Accident=0; Door=0; TempC=19.4
Truck : 47.60127,-52.70678; Accident=0; Door=0; TempC=20.8
Truck : 47.56386,-52.71665; Accident=0; Door=1; TempC=20.9
Truck : 47.57469,-52.69696; Accident=0; Door=0; TempC=18.4
Truck : 47.58782,-52.68426; Accident=0; Door=0; TempC=19.4
Truck : 47.60073,-52.70822; Accident=0; Door=0; TempC=20.8
Truck : 47.56386,-52.71665; Accident=0; Door=1; TempC=21.0
Truck : 47.57457,-52.69701; Accident=0; Door=0; TempC=18.4
Truck : 47.58797,-52.68435; Accident=0; Door=0; TempC=19.4
Truck : 47.60006,-52.70941; Accident=0; Door=0; TempC=20.8
Truck : 47.56386,-52.71665; Accident=0; Door=1; TempC=21.1
Truck : 47.57437,-52.69714; Accident=0; Door=0; TempC=18.4
Truck : 47.58811,-52.68444; Accident=0; Door=0; TempC=19.4
Truck : 47.59965,-52.71033; Accident=0; Door=0; TempC=20.8
Truck : 47.56386,-52.71665; Accident=0; Door=1; TempC=21.2
Truck : 47.57393,-52.69750; Accident=0; Door=0; TempC=18.8
Truck : 47.58855,-52.68494; Accident=0; Door=0; TempC=19.2
Warning: User typed Ctrl-C.  Exiting.
